Test;Temps_ms;Correcte
illa-4-1.txt;37;1
illa-4-10.txt;37;1
illa-4-11.txt;38;1
illa-4-12.txt;35;1
illa-4-13.txt;36;1
illa-4-14.txt;38;1
illa-4-15.txt;36;1
illa-4-16.txt;38;1
illa-4-17.txt;38;1
illa-4-18.txt;39;1
illa-4-19.txt;40;1
illa-4-2.txt;39;1
illa-4-20.txt;41;1
illa-4-3.txt;40;1
illa-4-4.txt;38;1
illa-4-5.txt;39;1
illa-4-6.txt;41;1
illa-4-7.txt;54;1
illa-4-8.txt;39;1
illa-4-9.txt;39;1
illa-5-1.txt;54;1
illa-5-10.txt;38;1
illa-5-11.txt;66;1
illa-5-12.txt;37;1
illa-5-13.txt;38;1
illa-5-14.txt;40;1
illa-5-15.txt;38;1
illa-5-16.txt;39;1
illa-5-17.txt;39;1
illa-5-18.txt;41;1
illa-5-19.txt;40;1
illa-5-2.txt;54;1
illa-5-20.txt;39;1
illa-5-3.txt;41;1
illa-5-4.txt;40;1
illa-5-5.txt;40;1
illa-5-6.txt;39;1
illa-5-7.txt;42;1
illa-5-8.txt;42;1
illa-5-9.txt;52;1
illa-6-1.txt;40;1
illa-6-10.txt;41;1
illa-6-11.txt;41;1
illa-6-12.txt;38;1
illa-6-13.txt;41;1
illa-6-14.txt;40;1
illa-6-15.txt;40;1
illa-6-16.txt;39;1
illa-6-17.txt;38;1
illa-6-18.txt;54;1
illa-6-19.txt;38;1
illa-6-2.txt;52;1
illa-6-20.txt;38;1
illa-6-3.txt;37;1
illa-6-4.txt;51;1
illa-6-5.txt;38;1
illa-6-6.txt;38;1
illa-6-7.txt;52;1
illa-6-8.txt;39;1
illa-6-9.txt;40;1
illa-7-1.txt;40;1
illa-7-10.txt;39;1
illa-7-11.txt;39;1
illa-7-12.txt;63;1
illa-7-13.txt;38;1
illa-7-14.txt;53;1
illa-7-15.txt;39;1
illa-7-16.txt;40;1
illa-7-17.txt;37;1
illa-7-18.txt;39;1
illa-7-19.txt;40;1
illa-7-2.txt;39;1
illa-7-20.txt;38;1
illa-7-3.txt;39;1
illa-7-4.txt;38;1
illa-7-5.txt;55;1
illa-7-6.txt;38;1
illa-7-7.txt;37;1
illa-7-8.txt;38;1
illa-7-9.txt;38;1
illa-8-1.txt;51;1
illa-8-10.txt;37;1
illa-8-11.txt;39;1
illa-8-12.txt;38;1
illa-8-13.txt;39;1
illa-8-14.txt;38;1
illa-8-15.txt;39;1
illa-8-16.txt;38;1
illa-8-17.txt;60;1
illa-8-18.txt;39;1
illa-8-19.txt;39;1
illa-8-2.txt;40;1
illa-8-20.txt;39;1
illa-8-3.txt;39;1
illa-8-4.txt;40;1
illa-8-5.txt;39;1
illa-8-6.txt;53;1
illa-8-7.txt;38;1
illa-8-8.txt;39;1
illa-8-9.txt;40;1
illa-9-1.txt;57;1
illa-9-10.txt;53;1
illa-9-11.txt;38;1
illa-9-12.txt;38;1
illa-9-13.txt;38;1
illa-9-14.txt;40;1
illa-9-15.txt;38;1
illa-9-16.txt;40;1
illa-9-17.txt;40;1
illa-9-2.txt;38;1
illa-9-3.txt;38;1
illa-9-4.txt;39;1
illa-9-5.txt;38;1
illa-9-6.txt;38;1
illa-9-7.txt;48;1
illa-9-8.txt;50;1
illa-9-9.txt;39;1
